phone,full_name,kyc_level,customer_type,operator,home_city,account_created_at
+2250167711964,Alexander Collins,basic,merchant,Moov Africa,Abidjan,2024-07-26 17:12:12.024205
+2250806501917,Tina Sanders,standard,individual,Orange,Daloa,2024-02-18 07:48:02.820536
+2250984362418,Angela Vaughn,basic,individual,Orange,Gagnoa,2025-02-05 03:43:23.067520
+2250796790422,Ashley Barton,standard,merchant,Orange,Abidjan,2025-03-22 02:48:10.922546
+2250175242149,Lindsay Martinez,basic,individual,Moov Africa,Abidjan,2024-07-23 13:11:27.814978
+2250636515597,Dr. Hannah Patterson,basic,individual,MTN,Korhogo,2024-02-20 11:46:49.838634
+2250547683420,Jonathan Peterson,basic,individual,MTN,Man,2026-01-27 21:31:16.773464
+2250596353390,Samantha Garcia,basic,individual,MTN,Abidjan,2024-02-03 15:17:45.278584
+2250630600025,Madison Poole,standard,individual,MTN,Bouaké,2024-11-06 17:45:53.880563
+2250527523343,Jessica Gross,basic,individual,MTN,Abidjan,2024-02-09 08:58:42.302324
+2250790808823,Debra Morton,standard,individual,Orange,Abidjan,2024-08-26 22:22:25.787123
+2250659196639,Karen Graham,basic,agent,MTN,Man,2024-04-26 19:52:54.325967
+2250583184919,Debra Christian,standard,individual,MTN,Abidjan,2025-01-29 16:20:29.353620
+2250277159103,Angelica Keith,basic,individual,Moov Africa,Abidjan,2025-03-29 08:19:33.067981
+2250153988547,John Bishop,standard,individual,Moov Africa,Daloa,2024-06-21 11:42:08.704856
+2250368507451,Allen Rosales,basic,merchant,Moov Africa,Abidjan,2025-05-22 06:36:26.286311
+2250974325122,Daniel Salinas,basic,individual,Orange,Bouaké,2025-09-09 20:50:55.040690
+2250596531361,Spencer Haynes,premium,merchant,MTN,Daloa,2026-01-27 23:41:46.708663
+2250236661449,Adam Vaughan,basic,individual,Moov Africa,Bouaké,2025-09-20 22:56:59.789686
+2250719803828,Nathan Freeman,standard,individual,Orange,Bouaké,2025-01-26 09:23:42.045978
+2250820223288,Melissa Brewer,basic,individual,Orange,Bouaké,2024-05-17 04:38:37.282049
+2250502311775,Ricky Davis II,standard,agent,MTN,Gagnoa,2024-12-12 09:13:06.599732
+2250113020569,Elizabeth Perkins,basic,individual,Moov Africa,Abidjan,2024-07-16 03:30:44.795893
+2250903719905,Joseph Coleman,premium,individual,Orange,Gagnoa,2024-09-02 16:48:12.178916
+2250206626682,Erin Warner,basic,individual,Moov Africa,Abidjan,2024-10-16 04:33:59.087624
+2250584588105,David Martinez,premium,individual,MTN,San-Pédro,2025-07-17 02:27:27.874838
+2250367066703,Bryan Herrera,basic,individual,Moov Africa,Abidjan,2024-02-15 16:35:49.894968
+2250901495427,Cathy Robinson,basic,individual,Orange,Abidjan,2024-07-22 16:49:48.967763
+2250961642059,Dr. William Warren,standard,individual,Orange,Abidjan,2025-01-22 03:12:14.573863
+2250553537513,Brian Lee,basic,individual,MTN,Gagnoa,2025-12-12 19:18:36.599226
+2250728866526,Christopher Smith,standard,individual,Orange,Abidjan,2025-12-08 12:53:02.169800
+2250736849951,Denise Mccann,basic,individual,Orange,Abidjan,2024-08-13 10:26:51.183431
+2250750618538,Melissa Martinez,standard,individual,Orange,Daloa,2024-09-01 06:34:06.863259
+2250349693578,Katherine Salas,standard,individual,Moov Africa,Abidjan,2024-09-23 08:35:49.231079
+2250640473504,Julie Alexander,basic,individual,MTN,Abidjan,2025-06-25 22:59:04.358232
+2250181867024,Anthony Everett,basic,individual,Moov Africa,Abidjan,2024-03-08 09:18:48.927741
+2250668044731,Rodney Morales,basic,individual,MTN,San-Pédro,2024-12-22 13:50:34.008645
+2250604387875,Mark Brown,premium,individual,MTN,Abidjan,2026-01-20 05:17:43.468464
+2250292158350,Justin Torres,premium,individual,Moov Africa,Abidjan,2025-08-17 03:42:38.492063
+2250975485819,Bailey Duran DDS,standard,individual,Orange,Gagnoa,2025-06-24 08:11:57.546676
+2250590797727,Courtney Mills,standard,individual,MTN,Yamoussoukro,2024-09-28 07:28:09.357026
+2250901382412,Jeremy Dalton,basic,individual,Orange,Abidjan,2025-06-15 18:07:36.343424
+2250687209628,Elizabeth Oliver DDS,standard,individual,MTN,Gagnoa,2025-04-01 17:58:25.264029
+2250667345957,Theresa Clark,standard,individual,MTN,Abidjan,2024-12-13 03:07:41.201875
+2250669681579,Matthew Moore,basic,individual,MTN,Man,2025-06-18 14:25:02.323592
+2250966046419,Benjamin Smith,standard,individual,Orange,Man,2026-05-20 11:25:09.978419
+2250264579389,Kirk Carter,basic,individual,Moov Africa,Abidjan,2026-02-10 11:06:21.348106
+2250555557277,Michael Warner,basic,individual,MTN,San-Pédro,2025-08-19 03:06:29.399868
+2250958886367,Michael Bradshaw,standard,individual,Orange,Abidjan,2026-02-28 02:56:20.347319
+2250368832753,Lori Guerrero,basic,individual,Moov Africa,Man,2024-02-27 03:40:31.305545
+2250577046056,Jessica Stephens,standard,individual,MTN,Bouaké,2024-11-16 18:25:31.107259
+2250694902284,Susan Serrano,basic,individual,MTN,Man,2025-08-17 11:28:23.562519
+2250143324913,Christopher Parker,basic,individual,Moov Africa,Bouaké,2024-10-29 00:51:27.358118
+2250973997046,Laura Roberts,standard,individual,Orange,Bouaké,2025-12-07 22:20:43.272192
+2250996434745,Michael Lyons,basic,individual,Orange,Abidjan,2024-02-22 22:45:46.976159
+2250634996010,Kathryn Snyder,standard,agent,MTN,Abidjan,2024-07-23 17:42:28.396356
+2250955732573,Andrew Reynolds,basic,individual,Orange,Abidjan,2024-08-02 12:45:14.107460
+2250729578606,David Davis,standard,individual,Orange,Abidjan,2024-08-29 07:40:35.061914
+2250185155333,Sara Johnston,basic,individual,Moov Africa,Abidjan,2024-03-04 12:17:21.816332
+2250854164316,Yvonne Chambers,standard,individual,Orange,Abidjan,2025-06-18 05:35:55.307449
+2250298221053,Andrew Avila,basic,individual,Moov Africa,Gagnoa,2024-03-31 06:08:34.275628
+2250303265097,Matthew Moon,basic,individual,Moov Africa,Abidjan,2024-02-03 04:56:39.662003
+2250925212932,Kevin Walters,basic,individual,Orange,Gagnoa,2025-11-12 04:24:25.937489
+2250737245018,Brandon Bailey MD,basic,merchant,Orange,Abidjan,2024-08-28 16:45:45.043626
+2250844856451,Shannon Rivera,basic,individual,Orange,San-Pédro,2025-05-30 18:02:43.127014
+2250874238856,Donna Landry,standard,individual,Orange,Korhogo,2025-10-03 05:06:35.259035
+2250688269131,Krista Gibson,basic,agent,MTN,Yamoussoukro,2026-02-23 01:39:45.688125
+2250845465535,Frank Cordova,basic,individual,Orange,Abidjan,2025-01-13 00:36:25.457038
+2250694097626,Jose Travis,basic,individual,MTN,Bouaké,2026-04-05 07:59:34.576777
+2250546335157,Kimberly Gutierrez,standard,individual,MTN,Bouaké,2024-04-30 02:37:13.135562
+2250795927282,Isaiah Avila,standard,individual,Orange,Abidjan,2025-08-04 20:39:08.289308
+2250836050791,Olivia Harris,standard,individual,Orange,Abidjan,2026-01-28 04:55:21.387925
+2250706314035,Tanya Kim,premium,individual,Orange,Gagnoa,2025-12-02 16:08:27.945988
+2250187328077,Barbara Dudley,basic,individual,Moov Africa,Abidjan,2024-04-24 10:57:05.702752
+2250506624813,Cynthia Moore,basic,individual,MTN,Abidjan,2024-03-24 02:36:22.578385
+2250930609069,Kristen Davis,basic,individual,Orange,Abidjan,2026-04-27 06:11:33.929455
+2250843627187,Susan Murray MD,basic,individual,Orange,Daloa,2024-05-14 11:46:22.480176
+2250624418222,Kathleen Moran,basic,individual,MTN,Bouaké,2024-04-08 02:15:56.053808
+2250971580290,Denise Davenport,standard,agent,Orange,Abidjan,2025-10-06 11:54:47.658425
+2250711063301,Mrs. Kristen Reyes,basic,individual,Orange,Yamoussoukro,2024-03-27 10:16:29.717309
+2250638044210,Katie Suarez,basic,individual,MTN,Abidjan,2025-09-25 15:02:00.281758
+2250545307624,Desiree Tyler,standard,individual,MTN,Daloa,2026-03-09 10:59:34.094468
+2250893993379,Timothy Romero,basic,individual,Orange,Abidjan,2024-10-03 10:40:42.974980
+2250672768297,Diane Evans,standard,individual,MTN,Abidjan,2026-02-23 21:52:53.801818
+2250811221823,Yvonne Burns,basic,individual,Orange,Abidjan,2024-09-12 07:09:22.669233
+2250682632809,Joshua Reed,basic,individual,MTN,Bouaké,2026-03-16 23:08:10.712080
+2250838040325,Kimberly Gibson,basic,individual,Orange,Gagnoa,2025-01-25 04:15:52.995926
+2250612316600,Colin Terry,basic,merchant,MTN,Daloa,2025-02-02 07:26:44.462932
+2250595829236,Cynthia Rowe,basic,merchant,MTN,Abidjan,2026-04-23 12:23:27.537833
+2250570755047,Patrick Thornton,standard,individual,MTN,Abidjan,2025-01-05 10:01:08.637890
+2250661213773,Jasmin Alvarado,basic,merchant,MTN,Korhogo,2026-01-09 17:23:21.202228
+2250596180332,Veronica Simpson,basic,individual,MTN,Korhogo,2025-02-02 09:01:49.713828
+2250722821781,Jonathan Lawrence,standard,individual,Orange,Abidjan,2024-12-04 02:51:41.202906
+2250647876989,Shelly Alexander,standard,individual,MTN,Korhogo,2024-01-28 00:32:45.343401
+2250639243588,Joyce Bowen,basic,individual,MTN,Korhogo,2025-06-08 12:26:43.079346
+2250713477894,Matthew Moore,basic,individual,Orange,Abidjan,2024-06-26 03:44:32.636099
+2250521994711,Wayne Morgan,basic,individual,MTN,Abidjan,2024-02-14 13:32:31.045664
+2250679352196,Marie Christian,basic,individual,MTN,Abidjan,2025-08-24 21:37:07.902512
+2250242364281,Shannon James,basic,individual,Moov Africa,Abidjan,2026-01-21 14:09:03.316470
+2250123959473,Nathan Malone,basic,individual,Moov Africa,San-Pédro,2026-02-02 18:27:23.745367
+2250721450576,Amanda Jones,standard,individual,Orange,Daloa,2026-02-06 16:36:11.146059
+2250981265742,Tammie Bright,basic,individual,Orange,Man,2026-04-14 04:02:00.981446
+2250998493306,Jessica Garcia,basic,individual,Orange,Abidjan,2026-01-15 21:46:43.579656
+2250611110286,Shelia Wallace,basic,individual,MTN,Abidjan,2026-01-12 19:10:26.664498
+2250294281793,Stephanie Williams,standard,individual,Moov Africa,Abidjan,2024-12-16 11:34:50.194602
+2250389437052,Elaine Brooks,basic,individual,Moov Africa,Abidjan,2025-05-18 22:26:55.806561
+2250384868999,Joseph Knight,basic,individual,Moov Africa,Korhogo,2025-12-07 00:26:00.169164
+2250536852830,Carolyn Miller,standard,individual,MTN,Abidjan,2025-02-22 12:17:29.028459
